Run,Mean_Q_Time_Nurse
0,18.959494271845454
1,40.94089566854871
2,9.962782796002692
3,35.339341129567984
4,18.317007005105978
5,10.048030956028292
6,23.426244010103705
7,18.168511426194094
8,8.145852260854053
9,8.401814555590423
10,15.733698754906833
11,16.46974172637018
12,21.40761160951933
13,9.128153272881665
14,6.1422756594426655
15,10.34202452283951
16,6.038114727469299
17,14.908604785228784
18,36.66051959187499
19,3.200421006719083
20,9.91210807102232
21,12.53969430611724
22,29.11612592052442
23,41.98908603031295
24,9.090889793778878
25,13.779649925643927
26,24.676182775436974
27,11.88990755796737
28,9.062250058310306
29,8.149403121985598
30,41.7218685801399
31,28.50600419956924
32,17.407764273182273
33,7.934639134256658
34,9.671333828532331
35,3.9195411783131258
36,10.205875348375955
37,25.546748185754318
38,17.445652921906312
39,14.579814450031021
40,19.86335550361707
41,6.687551212586652
42,29.549850092154607
43,27.73283275544611
44,26.19576099533328
45,5.229449523647363
46,2.186916848931786
47,11.22792100334466
48,20.101394528409436
49,18.964106762067058
50,28.76550753517535
51,19.10868247206704
52,10.2301274470835
53,27.989697502321636
54,16.460805826303645
55,13.790699563714176
56,9.156711500892655
57,3.1061395684041284
58,11.602094539666655
59,35.58714633461264
60,5.125009745744285
61,7.774638095079202
62,12.754826741696986
63,7.058060601378364
64,5.821128781390258
65,13.50006906334606
66,31.34322393034757
67,1.773239337177559
68,9.628374645451187
69,24.287973088210677
70,24.879219823406018
71,18.961594029687127
72,10.949476482673031
73,9.842351069332981
74,7.019232496563127
75,17.669705033927393
76,22.125611701477805
77,13.232646003924666
78,9.839412654586583
79,1.7841246378395088
80,14.339168904795297
81,20.307285568353745
82,30.827367404648804
83,4.634334908192842
84,9.534688654920911
85,6.562399391295038
86,37.79979096456356
87,16.389164475930013
88,18.004260566336587
89,25.642118681853486
90,8.447615028730468
91,30.84527440446106
92,4.968574013776669
93,15.663010048318855
94,26.34432372853125
95,21.20546415595495
96,14.511303399515928
97,22.26739475967103
98,23.332645578724797
99,22.168018527223257
