Run,Mean Q DN
0,5.898512165237738
1,27.293730815977266
2,237.81166352759035
3,6.909051347065018
4,32.96592020826773
5,6.128664122599257
6,10.788477540026943
7,23.7949326222902
8,23.17337012896234
9,10.878782899976839
10,47.72598480205305
11,90.21207661240965
12,142.6259918608018
13,46.02387949921426
14,203.00929798481138
15,119.66438046803738
16,133.59826696686721
17,127.81215761421471
18,5.1421932525032465
19,41.76768966907983
20,13.583069398266673
21,15.960391102333887
22,7.322099586938917
23,30.177279699395545
24,4.917580937767832
25,32.080642505152056
26,6.549662139829919
27,26.222777590857064
28,18.17439158437563
29,58.31700712496263
30,67.32337135512262
31,5.965429078256164
32,92.7558393657635
33,16.091647007473544
34,40.87849711338773
35,20.16327419931444
36,112.7069486701295
37,22.762442177448122
38,56.69060597527127
39,49.702557090204664
40,28.75075955701777
41,6.325392337400679
42,52.04001463090766
43,23.281139890411563
44,30.19499635706552
45,63.59132950154255
46,11.936224847985198
47,41.30608070116993
48,213.83666858566644
49,3.640662214788478
50,38.20884208165781
51,9.460419899195655
52,3.892739622969839
53,39.51582261896181
54,5.643101007429084
55,140.98552905547322
56,18.103846630018545
57,11.564349535944238
58,169.8667730495666
59,23.64128673235505
60,14.40924544936648
61,18.995947757716678
62,78.22647590986108
63,78.93658023829683
64,99.67022527027969
65,1.8406101862866613
66,54.950573103968
67,15.569684361526743
68,4.006338130648187
69,11.433499435192235
70,2.530602832337446
71,30.29872519227651
72,15.732683537975934
73,82.80900999114685
74,9.043787154424612
75,5.821079167812071
76,37.72503314271148
77,9.602315049762383
78,21.00122858810508
79,187.44981128378075
80,7.862739970974104
81,29.28299429394957
82,37.16188831267954
83,32.53430306791536
84,11.531028286557161
85,27.652034412911373
86,23.199397863396978
87,4.652753205982181
88,130.08738132567825
89,37.898678315945375
90,9.854634644046305
91,16.169715878207754
92,122.60716089961329
93,36.48713549977569
94,21.37467865146772
95,12.245471736409563
96,12.471500806640298
97,19.25203643657347
98,19.836879102189098
99,12.197366617127654
