Run,Mean Q Nurse
0,92.02710690629334
1,85.60429431487937
2,77.78367638315865
3,100.353708850372
4,59.482564262879855
5,82.34735288830818
6,39.30761052473292
7,35.93023619537344
8,109.82975559107581
9,33.13178781046466
10,27.597036175174342
11,96.84423013423857
12,125.14740125226848
13,98.32661135310391
14,74.87371684350994
15,89.02901653312557
16,47.20417745500943
17,110.05472480699514
18,36.023980915724906
19,86.99717597520339
20,79.04205193890117
21,100.50679737677402
22,143.46742497317868
23,69.40052476153052
24,88.30182080003163
25,65.43866387769604
26,72.91428809184434
27,42.0672683373204
28,43.03300595146536
29,107.94553505966593
30,108.76193302543228
31,42.182486947426106
32,94.21494317967762
33,67.8310106320068
34,22.09714796619279
35,51.494260798542854
36,91.98184957427827
37,77.01618593534069
38,86.86020694745588
39,103.08801891523626
40,96.85521451278268
41,47.70827264157422
42,52.034039039001726
43,42.147287707100695
44,55.5387171755736
45,126.80441763215029
46,22.43627465561343
47,75.59653332063282
48,68.7647122241737
49,116.9931009266332
50,98.72486632197379
51,28.261912175883623
52,72.3403446347383
53,49.27970220897933
54,107.79597188560199
55,3.9932745121154958
56,67.23045861739539
57,118.33549232978805
58,102.5280112217782
59,132.14281215156825
60,94.0872921699565
61,16.710273433372716
62,33.28225051173933
63,97.00728859825863
64,114.16151807594757
65,66.71238011207633
66,40.954417167093844
67,33.15040895205437
68,40.11147447557986
69,121.37462948800267
70,61.88000819978603
71,52.79324848482435
72,110.40871449040766
73,64.04498505821505
74,104.27829405838106
75,87.51204157521985
76,82.78387872503285
77,69.04170588760688
78,50.219809627497206
79,31.02408076665488
80,73.22708695002231
81,45.493017395032986
82,71.26520768869858
83,86.82872450285518
84,65.17887900716696
85,38.65718316106981
86,71.88135761391055
87,105.87056629766063
88,79.53498675381991
89,50.25565183077458
90,49.06131517747911
91,117.21082633250883
92,48.828304698769216
93,100.1778760961081
94,90.9005373958429
95,106.98401317158974
96,129.4449568883625
97,88.90823076843436
98,64.357463521051
99,19.494340158936385
