Run,Mean_Q_Time_Registration,Mean_Q_Time_Triage,Mean_Q_Time_ED_Assessment,Mean_Q_Time_ACU_Assessment
0,0.7089600422722111,0.5538051986350052,929.7864887268391,551.45272591762
1,0.6151808403707023,0.449907352602326,990.0189891410358,439.4025605809871
2,0.801315522807376,0.4823809825203831,969.7747945359764,343.4008077860471
3,0.46699783565439007,0.6928136494620474,1349.073150105547,886.3021786796801
4,0.624050735178178,0.41101160035916906,954.8913983109376,963.8480033742637
5,0.6511777230377752,0.6763417433142027,674.5233807029477,1100.8159040093565
6,0.6909165162111273,0.7028187613387517,775.9745803135005,1216.643336826022
7,0.462190198074254,0.7009844129091469,812.3941149330919,957.5742553796742
8,0.33285243880796656,0.5576361434401316,1136.0294316764064,1208.912984394669
9,0.6319446025776706,0.16242591952891458,930.7997474847049,493.4737349766003
10,0.44223244173545584,0.46713319451534485,1169.8547888449086,910.268852663447
11,0.4906603806480839,1.5247227094725222,1038.7357238946915,369.50947039823444
12,0.32811540391249466,0.8246960671465116,1181.4854896959046,1484.9263444109945
13,0.8203233698533121,0.837768220454441,1063.859163205159,934.9058835910487
14,1.3224254085939358,0.41703097333591876,799.4413302227769,527.6953205346636
15,0.4937005034238666,0.521415995889395,944.2256391851887,675.3864686913727
16,0.5363053716964651,0.5010832374626325,1234.0733564175373,1503.92792560026
17,0.7391641148465425,0.3238565835111958,474.2015977913423,1107.3537581541082
18,0.6004121174340521,0.4447476517636768,770.7119227255099,548.7064706772093
19,0.8077413685105677,0.7520743389013562,1054.6885903099462,489.78434520997655
20,0.580410078958877,0.5747544479457707,1297.5884001431357,757.7807481861605
21,0.565503050330119,0.3412356841427607,1062.9535860694446,432.3983723284191
22,0.9675926728505068,0.6238733885620107,1013.2180184873614,1224.536878606278
23,1.0149408074708546,1.1423196483769784,926.1359265918719,1152.1675203992188
24,0.5339324406154353,0.6786232842774279,976.5811258036207,1333.1929028436507
25,0.4889905693863173,0.3139081839697547,618.264985117087,1000.2931564830433
26,0.48572823959828043,0.21737184845611987,829.3237475570344,339.65909028566654
27,0.9156748052215672,0.5406947685681082,936.7004209978184,1358.1169091898294
28,0.8319156269550099,0.251745312530558,926.7570889046855,1064.8708630579233
29,0.47495314374428405,0.4643969976836715,818.2010157037668,531.9132071853431
30,0.6964414602778953,0.41104002502685577,1007.6335934954712,1265.9416096160296
31,0.8995936583126336,0.4930486524695734,837.3349862235757,914.6287338668914
32,0.5921406646093083,0.9660462798693593,795.9404346339287,303.5612681601926
33,0.48620638583959813,0.7900723017616124,997.7141228448515,545.4122147582154
34,0.4056283461778872,0.31343774085233034,964.9753314309855,998.1181331432164
35,0.4816799041257947,0.49551677528957583,416.2919603198834,872.5202664025624
36,0.6448767767753741,0.6729533024655429,1016.834610334543,771.244949769297
37,0.3372429134138398,0.29052506188136606,737.8405399546276,635.1959064861437
38,0.8843913498002774,0.739687788039139,1055.1828949744279,1269.1638173486044
39,0.7404377102133273,0.8980634582538509,1225.0018719859252,1026.9119909475903
40,0.42913458488752476,0.4805870420080068,719.4209707364103,526.782563592667
41,0.5674985569582223,0.3964997582080323,828.2151407902774,457.61935227738087
42,0.6280088078126393,0.37843461394749434,775.7556568071127,524.206872245669
43,0.5046030130627476,0.3299289258969236,1122.059314277206,724.5668173000503
44,0.6580085132397838,0.5553779957486991,1048.512519487298,1216.4048156212637
45,0.7859628919873829,0.6672662082000296,893.6664266608797,1311.3446332937767
46,0.7404039421820281,0.5252610072095819,1089.562423743745,546.905021356638
47,0.690819416453642,1.0480628721840697,785.7921065035938,824.0591780752204
48,0.4331361918090389,0.7043318131375772,875.183799976777,721.8961022624975
49,0.4581778657054297,0.44243472728163596,1181.6419075860672,938.1723402119079
50,0.6823956276921924,0.16266674893177205,977.2350252736949,422.6927746595803
51,0.6326674000312666,0.32366744013494964,930.7631705978745,871.2445820710516
52,0.5569236030601087,0.2793149828120535,1012.5281497639243,1390.3713006185355
53,0.8142307156611183,0.3516558402623822,919.7608011300415,670.2348423782103
54,0.4491553183825044,0.7386968473846873,616.9888348835084,1094.7721522401237
55,0.5406128352082097,0.2174520989302803,1042.288704498985,730.9250987545156
56,0.8366645461151336,0.3009639471250262,1218.4079112942024,695.844758134919
57,0.7770884031485478,0.4182817846844533,1105.3349538719776,1114.3039897691654
58,0.6876661701366817,0.29647422300240256,665.4995198194347,718.4018277780045
59,0.49572027939525937,0.6437728766462056,615.5027972394737,1598.17803730976
60,0.7502917249258779,0.6389614899735157,670.6023930970326,226.6426706185251
61,0.3582442840665872,0.7009575604674153,925.100994524081,266.41461863963826
