Run,Q Reg,Q Cons,Q Book Test,Time in Sys
0,95.16154066912681,25.942611204666413,89.57559893825243,139.05924123940719
1,88.64016471139357,19.81721774339632,89.6392759746134,126.84331320363275
2,64.70586435504046,52.13519086958225,67.02551378529058,125.01803192725265
3,69.68296271449044,84.56298599641225,70.26697136878167,160.51691556277856
4,54.313303641503374,75.4161958466761,42.8576620490771,127.0955811287972
5,133.0762318938783,21.26342920342179,140.31151582510586,181.64851926153622
6,77.13696583511211,69.31576806948961,80.67221301539529,165.7871927274786
7,73.81878053570539,65.75458834220035,76.78871294310963,156.58071708349863
8,138.91404563036497,8.930980292364191,131.6700838447302,167.49679106820255
9,76.942677863698,111.28857296196911,77.06440995044484,185.2133493436246
10,114.34080798078485,30.05745117759194,110.05088268472741,157.77862215690075
11,64.55330711843227,48.95082492010051,63.72249934630656,128.18468360607883
12,118.84452108154552,40.99398367944795,104.24014460082653,165.24232964848267
13,100.46424725339524,33.780961116050804,93.69924599986578,139.73032954679306
14,57.02484360522392,14.79691048687673,49.28664888812984,80.21246210617183
15,109.50570795101565,28.310263634987315,112.0380464864609,156.17211452610584
16,141.976633687725,19.973995914947505,137.60327970448526,170.82208482811455
17,62.61262626695948,18.128422835312083,60.13777913506869,100.57052311059168
18,98.8605953299332,16.887732010363305,100.89762485609273,139.29269985960082
19,145.11087577341786,74.68882995161758,133.24334146942118,215.29702554566842
20,119.11042889001988,65.61158416694198,121.21237582926166,194.82768992978487
21,113.02276272252564,19.648398957940824,102.26462738833412,150.86194140064575
22,136.16781484416106,44.51490266052391,130.82142166869275,183.3483705792993
23,127.14966029923536,12.193239470528429,117.70750369657837,163.78056837833518
24,105.31985307226248,66.36453664369222,98.45231612754519,174.34818580947314
25,70.87487860933827,57.83167649406468,88.32284828119266,140.35216250287618
26,137.4370583719102,84.0714473162673,148.98847867209972,220.979813944424
27,78.91050454673896,40.58298134827238,75.88817793376846,134.55608052755073
28,60.28982582812013,32.68198471053042,62.197799229655715,111.11966681114964
29,126.53935798989826,46.53957275373381,137.49863951963553,207.67952070633464
30,114.01169160807926,36.575556677797536,97.72524307192059,158.90376328683863
31,97.50917169231674,49.74819325975835,106.21754857718516,160.59492405970317
32,92.00196304122434,46.50799606738186,90.24093430401098,160.2163368185708
33,82.61260284639798,35.978154509323836,98.20703676952441,139.67960162495754
34,84.44843867853295,3.850174502391493,67.83620193928904,103.63410051139472
35,58.30706471799731,47.888235054867,62.097005974394385,123.43419617019799
36,79.85765603246901,112.35516205782871,73.60831237736942,200.4928323066456
37,118.7379152945575,41.90598020906416,105.83873519487749,168.80758190445738
38,109.24786589983202,50.11896397009049,107.27529447418586,178.95950424514834
39,85.38649034708793,84.06690073744213,94.82568613758428,170.81573176672583
40,77.84397903669716,62.13952523516123,78.93552284004417,151.85424314697437
41,34.646017931030414,94.5790893658152,35.44705892674479,133.8331657873583
42,94.95868642868481,133.4075224103743,94.96618021885712,224.80263140761522
43,148.4732649321328,27.328918410387352,135.6430593443127,165.7317191208487
44,108.18488498460522,14.994280023578373,107.99240992676346,135.03613149861602
45,72.59124819337089,22.343437209969867,76.40566135623725,110.4221627392005
46,104.74814148602847,19.408216747785637,93.67587583146017,127.27805926299207
47,49.57859887956017,122.7513077167214,46.57565006390099,173.5480285827335
48,104.61588912109286,18.472909141498366,98.54291744739069,148.03430021192108
49,98.74841870820661,90.96108140404972,110.36383231818296,204.83163540671075
50,100.78830126185895,16.249120823252312,94.92383001045873,128.2114321541998
51,96.10111562004931,22.688336623524826,94.44731851121949,134.09480424105723
52,163.57112117180074,9.694316023609803,156.7435736094267,186.86721875252766
53,113.9150547650307,39.1000383047371,88.13347794878808,150.40911813454863
54,86.6744357235122,74.23317662166812,94.05227363716881,180.02129779272468
55,68.78215444992723,49.26442175458136,65.89537125483865,127.72827262857068
56,90.55408402711798,33.96572194268458,80.04624294466909,139.04467007694865
57,94.6080314080023,29.649475848723505,75.9170738474524,125.01356655572692
58,96.73380027132977,10.637787478503782,94.07306486077921,127.93975026040093
59,106.42735708745992,50.700587433884266,120.6175687652463,174.79802731757152
60,83.26682955767548,41.60398195707443,67.81242134322531,131.60676221367518
61,154.9438956585612,8.334947500051756,149.7911885329979,177.6880876708286
62,35.78359741800168,127.30560316964453,31.764857588769484,170.33720850835923
63,87.73810575687742,9.594001660406521,100.51867716819316,120.08087128880881
64,88.10769223176267,43.26396558166021,89.78980122258712,148.86090847361936
65,143.2160014544827,9.248337201069585,141.795028476867,164.42125021441095
66,105.70348077081555,69.01767858387683,116.42129153511456,180.89954135317615
67,89.53458333484178,66.56819294396222,93.69201010809275,172.3146394424443
68,83.60995702438544,82.79169198200567,87.19620955730744,162.49263533776207
69,91.96646671465521,78.9330702371975,105.21206247476931,179.8470281004723
70,72.70639785341115,101.59076367572395,74.1182985271217,178.64463992560488
71,79.07878741821493,43.85877875031399,85.5840553691237,137.8620746296375
72,106.71698768812595,20.483346732639077,101.60897531599728,137.0399082994652
73,76.27703298337505,30.001413508405374,72.685700291246,119.6472858736752
74,145.80915481719438,7.646974525895438,153.95560289927812,168.3266920197413
75,99.58492651264721,84.77542253742689,103.1882873985108,193.1509803071845
76,95.61838692589698,34.77395640404432,91.57202923439485,135.6409002016715
77,105.2266583864218,18.21590267613749,111.80253270345058,151.89273409235008
78,123.3270540255235,25.563933291864224,124.67924425147126,163.17980519398589
79,62.67795776596731,50.096205545685436,54.638102402586135,119.86500450371521
80,84.70607040593245,33.211710893620655,89.787470494036,136.67291053005272
81,123.30020488661602,10.018035360249362,110.4027494486486,153.54016787329567
82,144.1433790961858,11.542411110017007,156.5723628095604,188.1736093322506
83,153.1902307608063,36.80218979281681,141.41788377754557,197.06070323801345
84,60.203445360402924,30.501930429923412,59.89741493706015,102.75562635034618
85,98.26201332656723,42.62282061960731,87.07772904609001,150.57358833909595
86,96.9978377281514,43.81278518559652,98.26418962498845,152.05981283941807
87,82.35609223214419,28.79305732567799,77.02053142845814,120.27429643311547
88,79.94611043246556,31.606794595019892,85.23689800689107,125.41469948223019
89,167.88787831083675,30.835716731001966,174.50191076333428,219.17200151443754
90,63.976266510490184,73.68605439934538,58.7638413043694,146.0130743854135
91,86.84344470038153,52.199944726133204,76.1445454834386,135.86624530459747
92,86.65001001209639,84.0982501227616,89.79215994227451,169.89556825010703
93,103.31856587926892,22.783171607250978,91.8342017583168,139.54555544614314
94,117.26423951334853,14.306990269583533,109.0692708970075,149.6354788126565
